keys,en,es,fr,de,pt,ru,zh,ja,ar,hi
"Windowed","Windowed","Ventana normal (windowed)","Fenêtré","Fenster","Janela","Оконный","窗口模式","ウィンドウ表示","نافذة","विंडो मोड"
"Fullscreen","Fullscreen","Pantalla completa (fullscreen)","Plein écran","Vollbild","Tela cheia","Полноэкранный","全屏","全画面","ملء الشاشة","पूर्ण स्क्रीन"
"Borderless","Borderless","Sin bordes (borderless windowed / fullscreen windowed)","Sans bordures","Randlos","Sem bordas","Без рамки","无边框","フチなし","بلا حدود","बिना बॉर्डर"
"Maximize on Start","Maximize on Start","Maximizar al iniciar","Agrandir au démarrage","Beim Start maximieren","Maximizar ao iniciar","Развернуть при запуске","启动时最大化","起動時に最大化","تكبير عند البدء","शुरू पर अधिकतम करें"
"Resolution / Window Size","Resolution / Window Size","Resolución / Tamaño de ventana","Résolution / Taille","Auflösung / Fenstergröße","Resolução / Tamanho","Разрешение / Размер окна","分辨率 / 窗口大小","解像度 / ウィンドウサイズ","الدقة / حجم النافذة","रिज़ॉल्यूशन / विंडो आकार"
"Windows & Rulers","Windows & Rulers","windws y regla","Fenêtres et règles","Fenster & Lineale","Janelas e réguas","Окна и линейки","窗口与标尺","ウィンドウとルーラー","النوافذ والمساطر","विंडो और रूलर"
"Windows","Windows","windows","Fenêtres","Fenster","Janelas","Окна","窗口","ウィンドウ","نوافذ","विंडो"
"Rulers","Rulers","reglas","Règles","Lineale","Réguas","Линейки","标尺","ルーラー","مساطر","रूलर"
"Enabled","Enabled","acivado","Activé","Aktiviert","Ativado","Включено","已启用","有効","مفعل","सक्षम"
"Preview","Preview","Vista previa","Aperçu","Vorschau","Visualização","Предпросмотр","预览","プレビュー","معاينة","पूर्वावलोकन"
"Keyboard","Keyboard","keyboard","Clavier","Tastatur","Teclado","Клавиатура","键盘","キーボード","لوحة المفاتيح","कीबोर्ड"
"Key Name","Key Name","name keyboard","Nom de touche","Tastenname","Nome da tecla","Название клавиши","按键名称","キー名","اسم المفتاح","कुंजी नाम"
"Keyboard Icon","Keyboard Icon","Icono teclado","Icône clavier","Tastatursymbol","Ícone do teclado","Иконка клавиатуры","键盘图标","キーボードアイコン","أيقونة لوحة المفاتيح","कीबोर्ड आइकन"
"Mouse Icon","Mouse Icon","Icono raton","Icône souris","Maussymbol","Ícone do mouse","Иконка мыши","鼠标图标","マウスアイコン","أيقونة الفأर","माउस आइकन"
"New Title","New Title","Título Nuevo","Nouveau titre","Neuer Titel","Novo título","Новый заголовок","新标题","新しいタイトル","عنوان جديد","नया शीर्षक"
"Empty paragraph text.","Empty paragraph text.","Texto de párrafo vacío.","Texte de paragraphe vide.","Leerer Absatztext.","Texto de parágrafo vazio.","Пустой текст абзаца.","空段落文本。","空の段落テキスト。","نص فقرة فارغ।","खाली पैराग्राफ टेक्स्ट।"
"Unnamed Layer","Unnamed Layer","Capa sin nombre","Calque sans nom","Unbenannte Ebene","Camada sem nome","Слой без имени","未命名图层","名前のないレイヤー","طبقة بدون اسم","बिना नाम की परत"
"Node Info","Node Info","Información del nodo","Info nœud","Knoteninfo","Informação do nó","Информация об узле","节点信息","ノード情報","معلومات العقدة","नोड जानकारी"
"Copy","Copy","Copiar","Copier","Kopieren","Copiar","Копировать","复制","コピー","نسخ","कॉपी करें"
"Paste","Paste","Pegar","Coller","Einfügen","Colar","Вставить","粘贴","ペースト","لصق","पेस्ट करें"
"Rectangle","Rectangle","Rectangulo_Vectorial","Rectangle","Rechteck","Retângulo","Прямоугольник","矩形","長方形","مستطيل","आयत"
"Circle","Circle","Circulo_Vectorial","Cercle","Kreis","Círculo","Круг","圆形","円","دائرة","वृत्त"
"Stroke Outline","Stroke Outline","Contorno_Stroke","Contour","Strichkontur","Contorno","Контур обводки","描边轮廓","ストロークアウトライン","مخطط الحد","स्ट्रोक आउटलाइन"
"Artboard","Artboard","Artboard","Planche","Zeichenfläche","Mesa de trabalho","Монтажная область","画板","アートボード","لوح الرسم","आर्टबोर्ड"
"Search layer...","Search layer...","Buscar capa...","Chercher calque...","Ebene suchen...","Buscar camada...","Поиск слоя...","搜索图层...","レイヤーを検索...","بحث عن طبقة...","परत खोजें..."
"HEX","HEX","HEX","HEX","HEX","HEX","HEX","十六进制","HEX","HEX","HEX"
"Palette Count","Palette Count","numero palette","Nb palette","Palettenanzahl","Contagem da paleta","Количество палитры","调色板数量","パレット数","عدد اللوحة","पैलेट संख्या"
"Layer Configuration","Layer Configuration","Configuracion de Capas","Configuration des calques","Ebenenkonfiguration","Configuração de camadas","Настройка слоев","图层配置","レイヤー設定","تكوين الطبقات","परत कॉन्फ़िगरेशन"
"Panel","Panel","Panel","Panneau","Bedienfeld","Painel","Панель","面板","パネル","لوحة","पैनल"
"Text","Text","Texto","Texte","Text","Texto","Текст","文本","テキスト","نص","टेक्स्ट"
"Icon","Icon","Icono","Icône","Symbol","Ícone","Иконка","图标","アイコン","أيقونة","आइकन"
"BG Color","BG Color","Color BG","Couleur fond","Hintergrundfarbe","Cor de fundo","Цвет фона","背景色","背景色","لون الخلفية","पृष्ठभूमि रंग"
"Text Color","Text Color","Color text","Couleur texte","Textfarbe","Cor do texto","Цвет текста","文字颜色","テキスト色","لون النص","टेक्स्ट रंग"
"Text Size","Text Size","Text size","Taille texte","Textgröße","Tamanho do texto","Размер текста","文字大小","テキストサイズ","حجم النص","टेक्स्ट आकार"
"Panel Opacity","Panel Opacity","Opacidad del panel","Opacité panneau","Bedienfelddeckkraft","Opacidade do painel","Прозрачность панели","面板不透明度","パネル不透明度","عتامة اللوحة","पैनल अपारदर्शिता"
"Icon Color","Icon Color","Color de iconos","Couleur icônes","Symbolfarbe","Cor dos ícones","Цвет иконок","图标颜色","アイコン色","لون الأيقونات","आइकन रंग"
"Icon Size","Icon Size","Tamaño de iconos","Taille icônes","Symbolgröße","Tamanho dos ícones","Размер иконок","图标大小","アイコンサイズ","حجم الأيقونات","आइकन आकार"
"Dark","Dark","Oscuro","Sombre","Dunkel","Escuro","Тёмный","深色","ダーク","داكن","गहरा"
"Light","Light","Claro","Clair","Hell","Claro","Светлый","浅色","ライト","فاتح","हल्का"
"Language","Language","Idioma","Langue","Sprache","Idioma","Язык","语言","言語","اللغة","भाषा"
"Theme Colors","Theme Colors","Colores del Tema","Couleurs du thème","Designfarben","Cores do tema","Цвета темы","主题颜色","テーマカラー","ألوان السمة","थीम रंग"
"Reset All","Reset All","Restablecer Todo","Tout réinitialiser","Alles zurücksetzen","Redefinir tudo","Сбросить всё","重置全部","すべてリセット","إعادة تعيين الكل","सब रीसेट करें"
"Reset","Reset","Restablecer","Réinitialiser","Zurücksetzen","Redefinir","Сбросить","重置","リセット","إعادة تعيين","रीसेट करें"
"Panel Bg","Panel Bg","Fondo Panel","Fond panneau","Bedienfeld-HG","Fundo do painel","Фон панели","面板背景","パネル背景","خلفية اللوحة","पैनल पृष्ठभूमि"
"Panel Surface","Panel Surface","Superficie Panel","Surface panneau","Bedienfeld-Oberfläche","Superfície do painel","Поверхность панели","面板表面","パネル表面","سطح اللوحة","पैनल सतह"
"Panel Text","Panel Text","Texto Panel","Texte panneau","Bedienfeld-Text","Texto do painel","Текст панели","面板文字","パネルテキスト","نص اللوحة","पैनल टेक्स्ट"
"Accent","Accent","Acento","Accent","Akzent","Acento","Акцент","强调色","アクセント","لون مميز","एक्सेंट"
"Button Bg","Button Bg","Fondo Botón","Fond bouton","Button-HG","Fundo do botão","Фон кнопки","按钮背景","ボタン背景","خلفية الزر","बटन पृष्ठभूमि"
"Button Hover","Button Hover","Botón Hover","Survol bouton","Button-Hover","Botão pairar","Наведение кнопки","按钮悬停","बटन होवर","تحويم الزر","बटन होवर"
"Button Pressed","Button Pressed","Botón Presionado","Bouton pressé","Button gedrückt","Botão pressionado","Нажатие кнопки","按钮按下","ボタン押下","الزر مضغوط","बटन दबाया"
"Button Text","Button Text","Texto Botón","Texte bouton","Button-Text","Texto do botão","Текст кнопки","按钮文字","ボタンテキスト","نص الزر","बटन टेक्स्ट"
